Температура,Деформация,Время,Напряжение,Напряжение_цикла,Цикл,Угол_град,d_Д,d_В,Скорость_raw,Скорость,log_Время,T_гом,Угол_штрих
294.75,14.0,340.943,105.812,105,cycle_105,10.08,0.0,0.2330000000000041,0.0,0.2867396773716301,5.834644056505506,0.6086816720257234,14.0
295.5,14.0,341.176,105.809,105,cycle_105,10.08,0.0,0.2330000000000041,0.0,0.2867396773716301,5.835325224574246,0.6094855305466238,14.0
293.25,15.0,341.408,105.801,105,cycle_105,10.8,1.0,0.2320000000000277,4.310344827585691,0.4304178382911531,5.836003008480623,0.6070739549839228,15.000000000000002
292.0,15.0,341.641,105.801,105,cycle_105,10.8,0.0,0.2330000000000041,0.0,0.4304178382911531,5.836683251817917,0.6057341907824223,15.000000000000002
291.0,15.0,341.874,105.804,105,cycle_105,10.8,0.0,0.2330000000000041,0.0,0.4304178382911531,5.837363032738749,0.6046623794212218,15.000000000000002
290.75,15.0,342.106,105.81,105,cycle_105,10.8,0.0,0.2319999999999709,0.0,0.4304178382911531,5.838039437324438,0.6043944265809217,15.000000000000002
280.5,15.0,342.339,105.815,105,cycle_105,10.8,0.0,0.2330000000000041,0.0,0.4304178382911531,5.838718297273737,0.5934083601286173,15.000000000000002
276.75,15.0,342.572,105.816,105,cycle_105,10.8,0.0,0.2330000000000041,0.0,0.4304178382911531,5.839396696684829,0.5893890675241157,15.000000000000002
279.5,15.0,342.804,105.799,105,cycle_105,10.8,0.0,0.2319999999999709,0.0,0.4304178382911531,5.840071727552387,0.5923365487674169,15.000000000000002
282.25,15.0,343.037,105.808,105,cycle_105,10.8,0.0,0.2330000000000041,0.0,0.4304178382911531,5.840749209728971,0.5952840300107181,15.000000000000002
288.25,16.0,343.27,105.805,105,cycle_105,11.52,1.0,0.2330000000000041,4.291845493562156,0.4298011938236667,5.84142623323418,0.6017148981779207,16.0
287.0,16.0,343.502,105.809,105,cycle_105,11.52,0.0,0.2320000000000277,0.0,0.4298011938236667,5.842099895952101,0.6003751339764202,16.0
288.25,16.0,343.735,105.81,105,cycle_105,11.52,0.0,0.2330000000000041,0.0,0.4298011938236667,5.8427760059371305,0.6017148981779207,16.0
291.75,16.0,343.968,105.817,105,cycle_105,11.52,0.0,0.2330000000000041,0.0,0.4298011938236667,5.843451659106288,0.6054662379421222,16.0
296.75,16.0,344.2,105.8,105,cycle_105,11.52,0.0,0.2319999999999709,0.0,0.4298011938236667,5.844123959209273,0.6108252947481243,16.0
302.25,16.0,344.433,105.804,105,cycle_105,11.52,0.0,0.2330000000000041,0.0,0.4298011938236667,5.844798702550063,0.6167202572347267,16.0
302.0,16.0,344.666,105.803,105,cycle_105,11.52,0.0,0.2330000000000041,0.0,0.4298011938236667,5.845472990919249,0.6164523043944266,16.0
302.0,17.0,344.898,105.811,105,cycle_105,12.24,1.0,0.2320000000000277,4.310344827585691,0.5734793547431899,5.846143933908483,0.6164523043944266,17.0
304.5,17.0,345.131,105.814,105,cycle_105,12.24,0.0,0.2329999999999472,0.0,0.5734793547431899,5.846817316118779,0.6191318327974277,17.0
304.25,17.0,345.364,105.811,105,cycle_105,12.24,0.0,0.2330000000000041,0.0,0.5734793547431899,5.847490245190591,0.6188638799571275,17.0
305.25,17.0,345.596,105.802,105,cycle_105,12.24,0.0,0.2320000000000277,0.0,0.5734793547431899,5.848159836534012,0.6199356913183279,17.0
304.75,17.0,345.829,105.81,105,cycle_105,12.24,0.0,0.2330000000000041,0.0,0.5734793547431899,5.848831863094256,0.6193997856377277,17.0
306.25,17.0,346.062,105.798,105,cycle_105,12.24,0.0,0.2330000000000041,0.0,0.4304178382911179,5.849503438338084,0.6210075026795284,17.0
306.5,17.0,346.294,105.803,105,cycle_105,12.24,0.0,0.2319999999999709,0.0,0.4304178382911179,5.850171683470648,0.6212754555198284,17.0
306.5,17.0,346.527,105.815,105,cycle_105,12.24,0.0,0.2330000000000041,0.0,0.4304178382911179,5.850842359828253,0.6212754555198284,17.0
307.75,18.0,346.76,105.81,105,cycle_105,12.96,1.0,0.2330000000000041,4.291845493562156,0.5734793547431899,5.851512586680537,0.622615219721329,18.000000000000004
307.25,18.0,346.992,105.815,105,cycle_105,12.96,0.0,0.2320000000000277,0.0,0.5734793547431899,5.852179491004487,0.6220793140407288,18.000000000000004
308.0,18.0,347.225,105.8,105,cycle_105,12.96,0.0,0.2330000000000041,0.0,0.5734793547431899,5.852848822574095,0.6228831725616292,18.000000000000004
