Температура,Деформация,Время,Напряжение,Угол_град,d_Деформация,d_Время,Скорость_деф
51.5,0.0,97.068,44.5232,0.0,0.0,0.2330000000000041,0.0
51.5,0.0,97.301,44.5186,0.0,0.0,0.2330000000000041,0.0
51.75,0.0,97.533,44.5183,0.0,0.0,0.23199999999999932,0.0
51.75,0.0,97.766,44.5165,0.0,0.0,0.2330000000000041,0.0
52.0,0.0,97.999,44.5201,0.0,0.0,0.23299999999998988,0.0
52.25,0.0,98.231,44.5192,0.0,0.0,0.23199999999999932,0.0
52.0,0.0,98.464,44.5165,0.0,0.0,0.2330000000000041,0.0
52.0,0.0,98.697,44.5239,0.0,0.0,0.2330000000000041,0.0
52.75,0.0,98.929,44.5214,0.0,0.0,0.23199999999999932,0.0
52.25,0.0,99.162,44.5197,0.0,0.0,0.2330000000000041,0.0
52.75,0.0,99.395,44.5228,0.0,0.0,0.23299999999998988,0.0
53.25,0.0,99.627,44.5251,0.0,0.0,0.23199999999999932,0.0
52.75,0.0,99.86,44.5249,0.0,0.0,0.2330000000000041,0.0
53.25,0.0,100.093,44.5184,0.0,0.0,0.2330000000000041,0.0
53.5,0.0,100.325,44.5166,0.0,0.0,0.23199999999999932,0.0
53.25,0.0,100.558,44.5189,0.0,0.0,0.2330000000000041,0.0
54.0,0.0,100.791,44.5173,0.0,0.0,0.23299999999998988,0.0
53.75,0.0,101.023,44.5202,0.0,0.0,0.23199999999999932,0.0
54.0,0.0,101.256,44.5211,0.0,0.0,0.2330000000000041,0.0
54.25,0.0,101.489,44.5213,0.0,0.0,0.2330000000000041,0.0
54.5,0.0,101.721,44.5206,0.0,0.0,0.23199999999999932,0.0
54.75,0.0,101.954,44.5233,0.0,0.0,0.23299999999998988,0.0
54.75,0.0,102.187,44.5203,0.0,0.0,0.2330000000000041,0.0
55.0,0.0,102.419,44.5157,0.0,0.0,0.23199999999999932,0.0
55.25,0.0,102.652,44.5184,0.0,0.0,0.2330000000000041,0.0
55.25,0.0,102.885,44.5224,0.0,0.0,0.2330000000000041,0.0
54.75,0.0,103.117,44.5195,0.0,0.0,0.23199999999999932,0.0
55.5,0.0,103.35,44.5219,0.0,0.0,0.23299999999998988,0.0
55.75,0.0,103.583,44.5205,0.0,0.0,0.2330000000000041,0.0
55.5,0.0,103.815,44.5217,0.0,0.0,0.23199999999999932,0.0
55.5,0.0,104.048,44.5155,0.0,0.0,0.2330000000000041,0.0
56.0,0.0,104.281,44.5211,0.0,0.0,0.2330000000000041,0.0
56.0,0.0,104.513,44.5199,0.0,0.0,0.23199999999999932,0.0
